Date;Event Type;Event Details;Check Point;Tour ID;Guard Name;Image | Audio | Video
07/08/2022 00:10;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;163;Security 1 (40e0d01078);|  |
07/08/2022 00:06;MME;;303957 - CP5-BF;163;Security 1 (40e0d01078);? |  |
07/08/2022 00:05;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;163;Security 1 (40e0d01078);|  |
07/08/2022 00:05;START;;;163;Security 1 (40e0d01078);|  |
07/08/2022 00:00;MISSEDSCAN;Schedule: 13831177 - 2ND-3RD-4TH-11pm Loose Schedule;303955 - CP4-4F;0;Security 1 (40e0d01078);|  |
07/08/2022 00:00;MISSEDSCAN;Schedule: 13831177 - 2ND-3RD-4TH-11pm Loose Schedule;303956 - CP4-3F;0;Security 1 (40e0d01078);|  |
06/08/2022 23:09;FINISH;;;162;Security 1 (40e0d01078);|  |
06/08/2022 23:04;MME;;304785 - CP4-2F;162;Security 1 (40e0d01078);? |  |
06/08/2022 23:04;NFCSCAN;LYG  - Majalengka;304785 - CP4-2F;162;Security 1 (40e0d01078);|  |
06/08/2022 23:02;START;;;162;Security 1 (40e0d01078);|  |
06/08/2022 23:00;MISSEDSCAN;Schedule: 13839929 - BF-10pm Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 22:12;FINISH;;;161;Security 1 (40e0d01078);|  |
06/08/2022 22:12;MME;;303957 - CP5-BF;161;Security 1 (40e0d01078);? |  |
06/08/2022 22:12;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;161;Security 1 (40e0d01078);|  |
06/08/2022 22:11;MME;;303958 - CP1-BF;161;Security 1 (40e0d01078);? |  |
06/08/2022 22:11;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;161;Security 1 (40e0d01078);|  |
06/08/2022 22:09;MME;;303974 - CP2-BF;161;Security 1 (40e0d01078);? |  |
06/08/2022 22:09;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;161;Security 1 (40e0d01078);|  |
06/08/2022 22:08;START;;;161;Security 1 (40e0d01078);|  |
06/08/2022 22:00;MISSEDSCAN;Schedule: 13839641 - 2ND-3RD-4TH-9pm Loose Schedule;303955 - CP4-4F;0;Security 1 (40e0d01078);|  |
06/08/2022 22:00;MISSEDSCAN;Schedule: 13839641 - 2ND-3RD-4TH-9pm Loose Schedule;303956 - CP4-3F;0;Security 1 (40e0d01078);|  |
06/08/2022 21:15;FINISH;;;160;Security 1 (40e0d01078);|  |
06/08/2022 21:15;MME;;304785 - CP4-2F;160;Security 1 (40e0d01078);? |  |
06/08/2022 21:14;NFCSCAN;LYG  - Majalengka;304785 - CP4-2F;160;Security 1 (40e0d01078);|  |
06/08/2022 21:14;START;;;160;Security 1 (40e0d01078);|  |
06/08/2022 20:08;FINISH;;;159;Security 1 (40e0d01078);|  |
06/08/2022 20:07;MME;;304784 - CP1-MZF;159;Security 1 (40e0d01078);? |  |
06/08/2022 20:07;NFCSCAN;LYG  - Majalengka;304784 - CP1-MZF;159;Security 1 (40e0d01078);|  |
06/08/2022 20:06;START;;;159;Security 1 (40e0d01078);|  |
06/08/2022 19:14;FINISH;;;158;Security 1 (40e0d01078);|  |
06/08/2022 19:14;MME;;304783 - CP2-GF;158;Security 1 (40e0d01078);? |  |
06/08/2022 19:14;NFCSCAN;LYG  - Majalengka;304783 - CP2-GF;158;Security 1 (40e0d01078);|  |
06/08/2022 19:12;MME;;304782 - CP8-GF;158;Security 1 (40e0d01078);? |  |
06/08/2022 19:11;NFCSCAN;LYG  - Majalengka;304782 - CP8-GF;158;Security 1 (40e0d01078);|  |
06/08/2022 19:10;START;;;158;Security 1 (40e0d01078);|  |
06/08/2022 19:00;MISSEDSCAN;Schedule: 13838863 - BF-6pm Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 18:15;FINISH;;;157;Security 1 (40e0d01078);|  |
06/08/2022 18:15;MME;;303957 - CP5-BF;157;Security 1 (40e0d01078);? |  |
06/08/2022 18:15;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;157;Security 1 (40e0d01078);|  |
